Protein_DTO_ID,Gene Symbol,UniProt_ID,Canonical_Smiles,pKd_Median
DTO_03100009,ACVR1B,P36896,NS(=O)(=O)c1cccc(c1)c2cc3ccncc3cc2OCc4ccccc4,5
DTO_03100020,AKT2,P31751,COc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,5
DTO_03100020,AKT2,P31751,Brc1ccc(\C=C\CNCCNS(=O)(=O)c2cccc3cnccc23)cc1,5
DTO_03100027,ANKK1,Q8NFD2,CC(C)OC(=O)N1CCN(CC1)c2ccn3ncc(c4ccc(nc4)C(F)(F)F)c3n2,5
DTO_03100037,AURKC,Q9UQB9,Clc1cccc(Nc2nccc(NCCCN3CCOCC3)n2)c1,5
DTO_03100042,BMP2K,Q9NSY1,CCNc1ccc(cn1)c2nn(c3ccccc3C)c4c2C(C)Cc5nc(NC(=O)OC)sc45,5
DTO_03100044,BMPR1A,P36894,NS(=O)(=O)c1cccc(c1)c2cc3ccncc3cc2OCc4ccccc4,5
DTO_03100049,BRSK2,Q8IWQ3,COc1cc2ncnc(N[C@H](C)c3ccccc3)c2cc1OC4CCN(CC4)S(=O)(=O)C,5
DTO_03100049,BRSK2,Q8IWQ3,NS(=O)(=O)c1ccc(Nc2cc([nH]n2)c3cccc(O)c3)cc1,5
DTO_03100214,CAMK1,Q14012,CN1CCC(CNc2ccc3ncc(c4cccc(OC(F)(F)F)c4)n3n2)CC1,5
DTO_03100222,CAMK4,Q16566,CCNc1ccc(cn1)c2nn(c3ccccc3C)c4c2C(C)Cc5nc(NC(=O)OC)sc45,5
DTO_03100061,CDK15,Q96Q40,O=C(Nc1[nH]nc2nc(ccc12)c3occc3)C4CC4,5
DTO_03100068,CDK2,P24941,CC(C)OC(=O)N1CCN(CC1)c2ccn3ncc(c4ccc(nc4)C(F)(F)F)c3n2,5
DTO_03100089,CLK4,Q9HAZ1,CCN(CC)S(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,5
DTO_03100090,CSF1R,P07333,CNC(=O)c1cccc(c1)c2ccc3c(nc(nc3n2)N4CCOC[C@@H]4C)N5CCOC[C@@H]5C,5
DTO_03100207,CSNK1A1L,Q8N752,COc1cc2ncnc(N[C@H](C)c3ccccc3)c2cc1OC4CCN(CC4)S(=O)(=O)C,5
DTO_03100209,CSNK1D,P48730,CC(C)OC(=O)N1CCN(CC1)c2ccn3ncc(c4ccc(nc4)C(F)(F)F)c3n2,5
DTO_03100209,CSNK1D,P48730,Cc1ccc2c(c3ccnc(Nc4ccc5OCCOc5c4)n3)c(nn2n1)c6ccc(cc6)C(F)(F)F,5
DTO_03100211,CSNK1G1,Q9HCP0,COC1(CCN(C)CC1)C#Cc2ccc(Cl)c(c2)c3ncc4CCc5nc(NC(=O)C)sc5c4n3,5
DTO_03100099,DAPK2,Q9UIK4,CC(C)c1ccc2c(N=Nc3ccc(cc3)S(=O)(=O)N)c(O)[nH]c2c1,5
DTO_03100099,DAPK2,Q9UIK4,CCN(C)S(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,5
DTO_03100100,DAPK3,O43293,CC(C)c1ccc2c(N=Nc3ccc(cc3)S(=O)(=O)N)c(O)[nH]c2c1,5
DTO_03100100,DAPK3,O43293,CCN(C)S(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,5
DTO_03100111,DMPK,Q09013,CCNc1ccc(cn1)c2nn(c3ccccc3C)c4c2C(C)Cc5nc(NC(=O)OC)sc45,5
DTO_03100114,DYRK1B,Q9Y463,COc1cc2ncn(c3cc(OCc4ccccc4C(F)(F)F)c(s3)C(=O)N(C)C)c2cc1OC,5
DTO_03100115,DYRK2,Q92630,Clc1cccc(Nc2nccc(NCCCN3CCOCC3)n2)c1,5
DTO_03100124,EGFR,P00533,COC1(CCN(C)CC1)C#Cc2ccc(Cl)c(c2)c3ncc4CCc5nc(NC(=O)C)sc5c4n3,5
DTO_03100124,EGFR,P00533,CCCCN(Cc1ccccc1)C(=O)c2ccc(cc2)S(=O)(=O)Nc3ccccc3,5
DTO_03100118,EIF2AK1,Q9BQI3,Fc1cccc(COc2ccc(Nc3ncnc4sc(cc34)c5cccs5)cc2Cl)c1,5
DTO_03100126,EPHA2,P29317,Cc1cc(Cl)cc2c(N=Nc3ccc(cc3)S(=O)(=O)N)c(O)[nH]c12,5
DTO_03100126,EPHA2,P29317,O=C(Nc1[nH]nc2nc(ccc12)c3occc3)C4CC4,5
DTO_03100126,EPHA2,P29317,CCN(C)S(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,5
DTO_03100128,EPHA4,P54764,Cc1ccc(cc1c2noc(n2)c3cccnc3)C(=O)Nc4ccc(Cl)c(c4)C(F)(F)F,5
DTO_03100130,EPHA6,Q9UF33,Cc1ccc(cc1c2noc(n2)c3cccnc3)C(=O)Nc4ccc(Cl)c(c4)C(F)(F)F,5
DTO_03100136,EPHB3,P54753,Cc1ccc(cc1c2noc(n2)c3cccnc3)C(=O)Nc4ccc(Cl)c(c4)C(F)(F)F,5
DTO_03100142,ERN1,O75460,Clc1cccc(Nc2nccc(NCCCN3CCOCC3)n2)c1,5
DTO_03100150,FGFR2,P21802,Cc1cc(Cl)cc2c(N=Nc3ccc(cc3)S(=O)(=O)N)c(O)[nH]c12,5
DTO_03100150,FGFR2,P21802,O=C(Nc1[nH]nc2nc(ccc12)c3occc3)C4CC4,5
DTO_03100150,FGFR2,P21802,CCN(C)S(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,5
DTO_03100152,FGFR4,P22455,CCNc1ccc(cn1)c2nn(c3ccccc3C)c4c2C(C)Cc5nc(NC(=O)OC)sc45,5
DTO_03100152,FGFR4,P22455,CCN(CC)S(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,5
DTO_03100559,FLT1,P17948,COC1(CCN(C)CC1)C#Cc2ccc(Cl)c(c2)c3ncc4CCc5nc(NC(=O)C)sc5c4n3,5
DTO_03100154,FLT3,P36888,COC1(CCN(C)CC1)C#Cc2ccc(Cl)c(c2)c3ncc4CCc5nc(NC(=O)C)sc5c4n3,5
DTO_03100154,FLT3,P36888,COc1c(cc(cc1c2ccc(cc2)S(=O)(=O)N)c3ccc(Cl)cc3)C(=O)N,5
DTO_03100154,FLT3,P36888,Cc1cc(cc(C)c1C=Cc2cncc(c2)c3nn[nH]n3)c4ccccn4,5
DTO_03100155,FRK,P42685,COc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,5
DTO_03100156,FYN,P06241,COc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,5
DTO_03100163,GRK7,Q8WTQ7,Cc1ccc2c(c3ccnc(Nc4ccc5OCCOc5c4)n3)c(nn2n1)c6ccc(cc6)C(F)(F)F,5
DTO_03100171,HCK,P08631,CCCS(=O)(=O)Nc1ccc(F)c(c1F)n2cc(nn2)c3cncc(OC)c3,5
DTO_03100179,ICK,Q9UPZ9,Clc1ccccc1n2nc(c3CCc4nc(NC(=O)NCc5ncc[nH]5)sc4c23)c6cccnc6,5
DTO_03100196,JAK1,P23458,COc1ccc(cc1)c2coc3ncnc(N)c23,5
DTO_03100196,JAK1,P23458,NS(=O)(=O)c1ccc(cc1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,5
DTO_03100264,LATS1,O95835,CCS(=O)(=O)c1ccc(OC)c(Nc2oc(cn2)c3ccccc3Cl)c1,5
DTO_03100264,LATS1,O95835,Cc1cc(Cl)cc2c(N=Nc3ccc(cc3)S(=O)(=O)N)c(O)[nH]c12,5
DTO_03100264,LATS1,O95835,Cc1ccc(cc1c2ccc(cc2)C(=O)NCC3CC3)C(=O)NC4CCC4,5
DTO_03100264,LATS1,O95835,O=C(NCc1ccccc1)c2ccc(cc2)S(=O)(=O)NCc3ccccc3,5
DTO_03100266,LCK,P06239,CCCCN(Cc1ccccc1)C(=O)c2ccc(cc2)S(=O)(=O)Nc3ccccc3,5
DTO_03100274,LTK,P29376,Fc1ccc(cc1)c2cc(ccn2)c3c[nH]nc3c4ccccn4,5
DTO_03100274,LTK,P29376,O=C(NCc1ccccc1)c2ccc(cc2)S(=O)(=O)NCc3ccccc3,5
DTO_03100275,LYN,P07948,COc1cc2ncn(c3cc(OCc4ccccc4C(F)(F)F)c(s3)C(=O)N(C)C)c2cc1OC,5
DTO_03100298,MAK,P20794,CCN(Cc1ccccc1)C(=O)c2ccc(cc2)S(=O)(=O)Nc3ccccc3,5
DTO_03100339,MAP2K6,P52564,Cc1ccc(cc1c2noc(n2)c3cccnc3)C(=O)Nc4ccc(Cl)c(c4)C(F)(F)F,5
DTO_03100281,MAP3K15,Q6ZN16,CCNc1ccc(cn1)c2nn(c3ccccc3C)c4c2C(C)Cc5nc(NC(=O)OC)sc45,5
DTO_03100326,MAPK14,Q16539,Brc1ccc(\C=C\CNCCNS(=O)(=O)c2cccc3cnccc23)cc1,5
DTO_03100326,MAPK14,Q16539,CNC(=O)c1cccc(c1)c2ccc3c(nc(nc3n2)N4CCOC[C@@H]4C)N5CCOC[C@@H]5C,5
DTO_03100302,MARK1,Q9P0L2,COc1cc2ncnc(N[C@H](C)c3ccccc3)c2cc1OC4CCN(CC4)S(=O)(=O)C,5
DTO_03100302,MARK1,Q9P0L2,NS(=O)(=O)c1ccc(Nc2cc([nH]n2)c3cccc(O)c3)cc1,5
DTO_03100305,MARK4,Q96L34,COc1cc2ncnc(N[C@H](C)c3ccccc3)c2cc1OC4CCN(CC4)S(=O)(=O)C,5
DTO_03100310,MATK,P42679,Clc1cccc(Nc2nccc(NCCCN3CCOCC3)n2)c1,5
DTO_03100311,MELK,Q14680,COc1ccc(cc1C(=O)N)c2ccncc2,5
DTO_03100311,MELK,Q14680,COC(=O)Nc1nc2cc(ccc2[nH]1)S(=O)(=O)c3ccc(NC(=O)Nc4cc(ccc4F)C(F)(F)F)cc3,5
DTO_03100311,MELK,Q14680,CS(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,5
DTO_03100311,MELK,Q14680,CNC(=O)c1cncc(\C=C\c2ccccc2Cl)c1,5
