HMS LINCS ID,Gene Symbol,UniProt_ID,Small Molecule HMS LINCS ID,sm_lincs_id,Canonical_Smiles,Assay_compound_conc,Conc unit,percent_Control_Median
200001,AAK1,Q2M2I8,10008-101-1,LSM-1008,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,10,uM,100
200004,ABL1,P00519,10008-101-1,LSM-1008,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,10,uM,47
200006,ABL1,P00519,10008-101-1,LSM-1008,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,10,uM,5.6
200007,ABL1,P00519,10008-101-1,LSM-1008,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,10,uM,41
200009,ABL1,P00519,10008-101-1,LSM-1008,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,10,uM,5.4
200010,ABL1,P00519,10008-101-1,LSM-1008,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,10,uM,36
200012,ABL1,P00519,10008-101-1,LSM-1008,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,10,uM,1.1
200013,ABL1,P00519,10008-101-1,LSM-1008,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,10,uM,35
200015,ABL1,P00519,10008-101-1,LSM-1008,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,10,uM,21
200017,ABL1,P00519,10008-101-1,LSM-1008,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,10,uM,1.3
200018,ABL1,P00519,10008-101-1,LSM-1008,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,10,uM,39
200020,ABL1,P00519,10008-101-1,LSM-1008,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,10,uM,0.4
200021,ABL1,P00519,10008-101-1,LSM-1008,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,10,uM,28
200023,ABL1,P00519,10008-101-1,LSM-1008,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,10,uM,22
200024,ABL1,P00519,10008-101-1,LSM-1008,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,10,uM,0.2
200025,ABL1,P00519,10008-101-1,LSM-1008,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,10,uM,25
200026,ABL2,P42684,10008-101-1,LSM-1008,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,10,uM,35
200027,ACVR1,Q04771,10008-101-1,LSM-1008,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,10,uM,100
200028,ACVR1B,P36896,10008-101-1,LSM-1008,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,10,uM,92
200029,ACVR2A,P27037,10008-101-1,LSM-1008,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,10,uM,100
200030,ACVR2B,Q13705,10008-101-1,LSM-1008,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,10,uM,75
200031,ACVRL1,P37023,10008-101-1,LSM-1008,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,10,uM,77
200032,CABC1,Q8NI60,10008-101-1,LSM-1008,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,10,uM,100
200033,ADCK4,Q96D53,10008-101-1,LSM-1008,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,10,uM,100
200034,AKT1,P31749,10008-101-1,LSM-1008,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,10,uM,100
200035,AKT2,P31751,10008-101-1,LSM-1008,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,10,uM,70
200036,AKT3,Q9Y243,10008-101-1,LSM-1008,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,10,uM,100
200037,ALK,Q9UM73,10008-101-1,LSM-1008,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,10,uM,69
200038,PRKAA1,Q13131,10008-101-1,LSM-1008,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,10,uM,42
